district-name,race:white,race:black,race:asian-pacific-islander,race:other,race:multirace,race:native-american,gov-2008:democrat,gov-2008:republican,gov-2008:libertarian,ethnicity:hispanic,ethnicity:non-hispanic,pres-2008:democrat,pres-2008:republican,pres-2008:libertarian,us-senate-2008:democrat,us-senate-2008:republican,us-senate-2008:libertarian,us-senate-2010:democrat,us-senate-2010:republican,us-senate-2010:libertarian,age:18-25,age:26-40,age:41-65,age:66+,gender:male,gender:female,gender:undesignated,party-affiliation:democrat,party-affiliation:republican,party-affiliation:unaffiliated,party-affiliation:libertarian
Congressional District 1,281940,314170,4840,18580,10210,5400,195290,79910,4290,32900,602210,177010,104260,860,181350,93530,4760,101980,70610,2340,46410,93310,181380,82350,174080,225940,3580,272650,67220,62830,370
Congressional District 10,583560,60380,12890,18110,11410,2240,105000,190710,6790,37920,650790,108010,191940,2130,124270,164720,12640,57970,122770,4610,41590,100440,206470,85080,200440,230990,2440,150220,179140,103950,610
Congressional District 11,627660,29060,5820,17930,12870,10810,172880,153480,12580,39340,664720,159620,179130,2770,170700,156800,12770,97560,132500,6530,48400,111970,218840,118940,228180,265980,4260,195560,162310,139680,770
Congressional District 12,311770,322020,25600,52410,18360,3890,200570,94890,6610,90310,643260,215520,89200,1260,213820,80820,7210,100190,57290,2470,61640,134340,192350,68580,197550,253500,5720,267100,97780,91830,630
Congressional District 13,453370,213790,20730,41590,18760,4220,196530,135380,11820,79840,673490,204050,139930,2060,206740,127150,9670,106470,96750,4700,54320,138030,206740,72280,210450,257250,3390,240080,120740,109360,860
Congressional District 2,442230,204590,9060,49130,18930,5680,163010,126550,7210,90930,638290,156600,140330,1650,163860,125060,8020,88510,94780,3410,52760,116230,187760,67660,191220,229420,3510,214540,120340,89580,610
Congressional District 3,553830,123320,10410,25790,18160,3550,151370,149370,7730,54490,680560,118010,191440,1610,128750,171770,8560,64670,130720,3760,53070,110330,200910,84790,204170,241350,3690,184280,154840,109480,600
Congressional District 4,552270,159770,54240,36570,20130,3740,240300,168920,17790,75080,750910,268800,159440,2840,261660,154410,12150,149350,115690,6050,71540,168950,253620,70000,255940,302400,5830,257840,145700,159340,1150
Congressional District 5,592760,54820,8330,24490,10820,2040,136980,180880,10630,45380,647600,125860,200270,2730,140990,175020,12510,66900,140200,5060,50060,103130,208800,91240,209470,241110,2380,152220,196900,103110,770
Congressional District 6,588050,74860,13030,24500,12020,3810,127040,196120,11230,49220,667400,121230,211870,2540,139350,183830,12080,59360,142330,4900,45120,109020,222220,98480,218260,255470,1070,154150,208060,111480,860
Congressional District 7,489280,165240,6910,30100,16840,59600,175460,138590,10310,54170,714100,155350,170670,1720,172960,141020,10640,88910,121810,3940,52430,121150,217820,96200,218510,264150,5540,238400,136850,111320,670
Congressional District 8,406960,197280,16110,42920,19930,13570,143280,131410,6050,80050,616450,148800,133050,1460,157010,114690,8720,77320,84990,3060,48650,117940,183820,66340,184950,226370,5120,205620,114910,95690,510
Congressional District 9,645160,129160,27830,31750,18210,3300,130690,250800,7900,70570,785270,174690,212900,2050,179110,195190,13200,82520,143540,4920,52540,165400,269490,81030,258640,304350,5980,191710,223610,152670,910